rep	peak_num	value
3	1	156322.3638
3	2	66755.76177
3	3	85977.94707
3	4	58618.02124
3	5	32837.17579
3	6	58853.71415
3	7	52851.49251
3	8	33533.47373
3	9	23747.481294999998
3	10	26631.30147
3	11	29075.40808
3	12	27942.18046
3	13	20645.454055000002
3	14	21380.521640000003
3	15	22688.13017
3	16	22988.847179999997
3	17	21104.65489
3	18	25936.999519999998
3	19	15267.93198
3	20	12228.334529999998
3	21	15121.842192
3	22	13019.544530000003
3	23	19311.08132
3	24	19016.62083
3	25	13363.695610000002
3	26	10415.477434
3	28	11811.021490000001
3	29	16791.641720000003
3	30	9828.063137000001
3	32	9592.614280000002
3	33	15568.93721
3	34	9530.201939999999
3	35	8185.77015
3	36	10692.043439999998
3	37	7997.016094
3	38	12621.850729999998
3	39	8940.68571
3	40	10752.36982
3	41	7283.73229
3	42	12407.4413
3	44	7995.6219
3	45	7689.173545
3	46	7671.78624
3	47	4728.920252
3	48	9079.78764
3	49	5879.941654
3	50	11148.306359
3	51	6624.510735999999
3	52	7932.122829
3	53	5859.806154
3	54	5225.60206
3	55	4557.1338049999995
3	56	4943.4663271
3	57	6067.687389999999
3	58	8652.84587
3	59	6277.657377
3	60	6107.588641
3	61	4939.265479999999
3	62	4870.594706
3	63	7461.558344
3	64	4468.698903
3	65	10086.674430000001
3	66	5622.434321
3	68	6834.10156
3	69	4378.211655
3	70	5532.50185
3	71	3960.153324
3	72	4213.077244
3	73	8463.431697
3	74	4945.958957
3	75	5818.064023
3	76	6760.9269300000005
3	77	5535.874252
3	78	3032.1377884999997
3	79	5885.69194
3	80	4417.54757
3	81	4721.739681999999
3	82	4742.103491
3	83	4164.957231
3	84	4714.786133
3	85	7788.795013
3	86	4012.760141
3	87	4510.1643110000005
3	88	4643.214829999999
3	89	6241.03974
3	90	5078.963092
3	91	3635.7077564
3	92	3106.633718
3	93	5111.460119
3	94	5094.030115
3	96	4917.406668
3	97	5180.766003000001
3	98	7231.903289
3	100	3159.607219
3	101	5412.203943
3	102	2912.028216
3	103	3418.5335497
3	104	3211.1399
3	105	4096.135395
3	106	6102.641575
3	107	3379.5114399999998
3	108	5545.860815
3	109	4617.7546139999995
3	111	3083.5002200000004
3	112	6303.25691
3	113	3823.1206680000005
3	114	3306.97412
3	116	6912.99113
3	117	4005.634644
3	119	2482.78795
3	120	2580.4009069999997
3	121	2566.6274299999995
3	122	3926.087611
3	123	3110.6861249999997
3	124	2718.622316
3	125	8066.908689999999
