spectrum_name	ion	peak_num	merged_rt	merged_mz	merged_height	persistence	aligned_rt	aligned_mz	value
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	33	21.9875	977.0	9.113197999999999	8.123477999999999	21.9875	977.0	6.6412322999999995
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	34	18.0125	1201.0	8.3643828	7.7926578	18.0125	1201.0	5.3745582
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	35	17.337500000000002	1315.0	7.9062491	7.1140211	17.337500000000002	1315.0	4.7630876
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	36	7.7125	813.0	7.00206	7.00206	7.7125	813.0	13.279985099999998
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	37	20.212500000000002	1013.0	7.215038	6.933375	20.212500000000002	1013.0	2.4846912
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	38	18.962500000000002	1105.0	7.183052	6.923124	18.962500000000002	1105.0	6.5810252999999985
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	39	23.0625	1035.0	12.489452	6.842898999999999	23.0625	1035.0	23.836877199999996
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	40	20.5625	1245.0	6.986395999999999	6.770337	20.5625	1245.0	0.7591904999999999
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	41	16.7625	1135.0	6.862177000000001	6.618937000000001	16.7625	1135.0	0.59415
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	42	23.2875	851.0	20.359754000000002	6.438576000000001	23.2875	851.0	94.97018999999997
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	43	23.3125	1315.0	30.339686	6.4178200000000025	23.3125	1315.0	62.890553999999995
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	44	6.6875	1397.0	6.389503	6.389503	6.6875	1397.0	0.0
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	45	16.4125	1327.0	6.4790209999999995	6.3319833999999995	16.4125	1327.0	0.0
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	46	23.3125	1369.0	26.43346	6.0625789999999995	23.3125	1369.0	55.498217
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	47	20.8125	1131.0	6.368955999999999	6.043387999999999	20.8125	1131.0	3.9296200000000003
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	48	17.212500000000002	1143.0	6.2735383	5.8797273	17.212500000000002	1143.0	1.3533313999999996
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	49	13.262500000000001	1205.0	5.8448210000000005	5.8448210000000005	13.262500000000001	1205.0	0.7921904
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	50	16.212500000000002	1233.0	5.880535999999999	5.719271999999999	16.212500000000002	1233.0	0.1980476
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	51	22.387500000000003	1211.0	7.144583999999999	5.5557859999999994	22.387500000000003	1211.0	3.877636499999999
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	52	22.387500000000003	1079.0	6.471185999999999	5.5133659999999995	22.387500000000003	1079.0	7.0208129999999995
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	53	21.5625	823.0	5.786534	5.460964	21.5625	823.0	54.646131800000006
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	54	22.0625	1383.0	6.887956	5.37163	22.0625	1383.0	7.5729111
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	55	23.087500000000002	947.0	10.403305	5.105293	23.087500000000002	947.0	25.3539969
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	56	17.0125	801.0	4.999613	4.9612914	17.0125	801.0	0.3961
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	57	16.9375	1093.0	5.1674310000000006	4.951371000000001	16.9375	1093.0	0.2970732
20210723_glyco_plasma_ecoli_spike_2ug_1.wiff.dia.extracted.txt	138.055	58	6.6875	987.0	4.93742	4.93742	6.6875	987.0	0.495122
